bigram,count
https t,1026020
t co,1026019
covid 19,242941
protokol kesehatan,147260
pakai masker,61120
pake masker,60977
19 https,52011
patuhi protokol,41305
jaga jarak,35178
pandemi covid,26222
penyebaran covid,24653
kesehatan https,23673
masker https,23416
positif covid,21620
memakai masker,21592
virus corona,21246
jangan lupa,21102
masa pandemi,20256
mencuci tangan,17848
menggunakan masker,17604
ayo pakai,16413
new normal,16409
kebiasaan baru,15324
menjaga jarak,15252
corona https,14659
adaptasi kebiasaan,14545
cuci tangan,13640
penanganan covid,12529
pandemi https,12411
mematuhi protokol,12008
selama pandemi,11934
tengah pandemi,11722
gunakan masker,11703
cegah covid,11484
disiplin protokol,11419
pandemi gini,11354
psbb total,11221
menerapkan protokol,10577
k https,10535
p https,9630
kasus covid,9525
kena covid,9149
cegah penyebaran,8893
keluar rumah,8536
penyebaran virus,8359
covid https,8167
virus covid,8120
pasien covid,7933
penularan covid,7817
masker mencuci,7737
september 2020,7560
salah satu,7423
dengarkan dirumahaja,7239
masker menjaga,6987
vaksin covid,6969
b https,6853
agustus 2020,6809
kasus positif,6669
jarak https,6652
masker kain,6595
tangan menjaga,6577
mencegah penyebaran,6527
tetap patuhi,6393
dki jakarta,6225
masker jaga,6021
ga pake,6001
orang orang,5945
lawan covid,5881
rantai penyebaran,5855
positif corona,5806
tetap disiplin,5554
terapkan protokol,5549
tni polri,5526
humaspolres bjn,5517
31 hari,5402
2020 https,5300
ditengah pandemi,5299
jakarta psbb,5272
jual masker,5221
tahun 2020,5212
mau psbb,5183
ga mau,5178
pilkada 2020,5166
hari tantangan,5125
jaga kesehatan,5119
sobat polri,5105
mata rantai,5069
selalu pakai,5015
pencegahan covid,4956
penggunaan masker,4816
bersama sama,4756
19 indonesia,4659
penerapan protokol,4586
ayo patuhi,4582
orang https,4523
psbb https,4474
psbb jakarta,4466
pembagian masker,4384
masker aja,4359
ikuti protokol,4348
pendisiplinan protokol,4316
banyak yg,4274
lupa pakai,4238
dimasa pandemi,4212
gara gara,4204
selalu menggunakan,4188
keselamatan bersama,4167
bersama cegah,4166
lupa pake,4107
make masker,4058
1trenggalek ayo,4036
1trenggalek tetap,4033
kena corona,4017
mau ga,3999
jarak mencuci,3965
selalu jaga,3951
tangan https,3945
se https,3944
kesehatan bersama,3845
semoga pandemi,3841
tetap jaga,3814
c https,3782
selalu gunakan,3781
mau gue,3755
tp sekarang,3750
3m memakai,3747
masker wajah,3739
sekolahn https,3714
gue beradaptasi,3712
depan sekolahan,3712
iya suami,3712
im3ooredoo mau,3711
beradaptasi iya,3711
suami buka,3711
buka parkiran,3711
parkiran depan,3711
sekolahan tp,3711
sekarang sekolahn,3711
men https,3679
masyarakat https,3668
lupa selalu,3663
diri sendiri,3606
pandemi corona,3599
pilkada serentak,3597
beli masker,3577
masker keselamatan,3575
co https,3553
kesehatan selalu,3461
bagikan masker,3412
bersama lawan,3406
pas pandemi,3388
kesehatan covid,3385
kesehatan cegah,3384
memutus mata,3371
aku mau,3365
rumah sakit,3351
orang yg,3318
masker melindungi,3236
anak anak,3236
lebih baik,3229
tangan pakai,3227
sukseskan pilkada,3183
kesehatan mencegah,3150
masker yg,3147
corona virus,3139
gak pake,3117
pke masker,3069
selamat pagi,3068
sama sama,3065
1trenggalek bersama,3045
jarak aman,3035
kepala daerah,3034
da https,3025
wajib pakai,3019
psbb lg,3015
yg kena,3008
memutus rantai,3006
kedisiplinan kesadaran,3001
tiap hari,2986
menjaga kesehatan,2962
indonesia https,2962
satgas covid,2962
selalu patuhi,2933
j https,2928
psbb transisi,2898
l https,2883
baru https,2882
himbauan protokol,2864
kasus baru,2853
awal pandemi,2834
patuh protokol,2809
stay safe,2806
pe https,2770
protokol covid,2770
penularan virus,2769
memberikan himbauan,2763
melaksanakan giat,2751
terima kasih,2741
zona merah,2734
tetap mematuhi,2729
jaga diri,2729
face mask,2728
corona covid,2716
yg https,2716
mencegah penularan,2715
ke 75,2708
terpapar covid,2689
vaksin corona,2683
hingga berakhir,2663
protokol https,2663
luar rumah,2651
covid ni,2633
masker organik,2632
cegah penularan,2615
1trenggalek patuhi,2612
berakhir kedisiplinan,2611
jgn lupa,2592
pencegahan penyebaran,2591
kalo ga,2591
yg ga,2578
anies baswedan,2573
disiplin patuhi,2569
psbb ketat,2565
lindungi diri,2559
bhabinkamtibmas polsek,2554
h https,2531
rantai covid,2518
rumah https,2503
1 https,2487
melaksanakan kegiatan,2484
meninggal dunia,2481
ka https,2473
tenaga medis,2472
kasus corona,2471
masker masyarakat,2469
humas restuban,2468
personil polsek,2465
g https,2463
gugus tugas,2462
pa https,2461
melindungi diri,2456
jawa timur,2450
rapid test,2444
gapake masker,2435
pemakaian masker,2412
selalu memakai,2410
n https,2409
19 hingga,2394
cov https,2379
humasres blikot,2371
salah satunya,2368
ayo disiplin,2364
00 wib,2355
pasien positif,2348
3m menggunakan,2344
masker gratis,2335
lawan corona,2334
upaya pencegahan,2333
pakai sabun,2315
razia masker,2313
akibat covid,2312
lantas polres,2297
saling melindungi,2291
bhabinkamtibmas desa,2291
masker cuci,2289
1trenggalek cegah,2284
divhumas polri,2276
6 tahun,2263
3 memakai,2253
melawan covid,2250
masker spirulina,2248
jarak cuci,2245
po https,2235
semua orang,2222
yg mau,2217
kesehatan langkah,2208
yg positif,2207
polri https,2200
ga sih,2197
selama psbb,2197
gt gt,2185
masa depan,2180
mas https,2176
sat lantas,2166
org yg,2163
te https,2160
kesehatan 3m,2154
hand sanitizer,2150
jawa barat,2141
membagikan masker,2137
disiplin menerapkan,2135
anggota polsek,2125
banyak orang,2122
psbb dki,2120
19 kabupaten,2104
pandemi segera,2102
putus rantai,2100
putus mata,2083
langkah terbaik,2078
1trenggalek disiplin,2076
gebrak masker,2070
terdampak covid,2069
lalu lintas,2068
cegah corona,2066
masker kesehatan,2065
taati protokol,2062
terbaik lawan,2056
jakarta https,2052
masker bersama,2046
19 tetap,2044
obat covid,2039
mencegah covid,2037
nitip jualan,2037
himbauan masyarakat,2035
satpol pp,2031
kesehatan menjadi,2029
kesehatan memutus,2029
aku jual,2026
2020 pukul,2021
lg pandemi,2018
bersama https,2012
segera berakhir,2004
hari https,2002
baru covid,1981
corona indonesia,1968
ga https,1964
saling menjaga,1962
kes https,1959
19 ayo,1957
masker nya,1957
sa https,1956
tatap muka,1955
kesehatan adaptasi,1951
kondisi pandemi,1951
cari masker,1950
semenjak pandemi,1945
jalan jalan,1944
wabah covid,1943
corona gini,1942
6 bulan,1938
mem https,1909
rajin cuci,1887
serentak 2020,1884
kalo mau,1883
teman teman,1877
aja https,1874
melindungi menggunakan,1863
corona ga,1856
pemprov dki,1856
aku pake,1853
melaksanakan patroli,1853
mau beli,1852
mengikuti protokol,1843
pandemi jadi,1835
aja yg,1828
yg pake,1826
pemulihan ekonomi,1821
masker keluar,1817
ekonomi bangkit,1810
semoga covid,1808
kaya gini,1807
tak pakai,1801
14 september,1800
akibat pandemi,1798
buka masker,1795
ja https,1786
terapkan 3m,1784
era new,1781
tp pkk,1778
ba https,1775
kesehatan pulih,1767
masker ayo,1761
pelanggar protokol,1759
normal https,1747
republik indonesia,1739
pulih ekonomi,1738
wali kota,1738
sesuai protokol,1738
pandemi aku,1736
masyarakat selalu,1731
sekarang https,1729
aman damai,1725
update covid,1724
pandemi cepat,1723
pemerintah pusat,1722
masker pandemi,1716
terkonfirmasi positif,1716
masker yaa,1706
sehat selalu,1698
pandemi berakhir,1697
terhindar virus,1694
paket internet,1686
seluruh masyarakat,1686
jualan pulsa,1684
2020 tetap,1683
corona cepet,1682
masker beraktivitas,1681
menghimbau masyarakat,1681
pulsa paket,1680
r https,1680
kesehatan pilkada,1679
makin banyak,1678
ingat 3m,1677
semoga corona,1676
mabes polri,1675
dirumah aja,1673
social distancing,1668
kios jualan,1667
internet dijamin,1666
sembuh covid,1666
apa yg,1665
masyarakat mematuhi,1663
percepatan penanganan,1658
u https,1656
hut ri,1652
ayo bersama,1652
penerus bangsa,1651
pak anies,1650
sejak pandemi,1645
generasi penerus,1645
bener bener,1644
pelaksanaan protokol,1637
kalo pake,1634
takut corona,1633
pentingnya protokol,1611
yg penting,1610
covid yg,1609
im3ooredoo kios,1606
dijamin po,1606
rem darurat,1606
semua https,1599
kalo psbb,1599
19 kota,1585
air mengalir,1584
warga masyarakat,1582
tetap semangat,1574
jumlah kasus,1573
cepat berlalu,1572
operasi yustisi,1571
masker namanya,1570
covid 1,1567
saling mengingatkan,1564
gubernur dki,1563
kesehatan internal,1562
masa adaptasi,1562
bebas covid,1556
giat patroli,1548
protokol kes,1546
menjalankan protokol,1545
kayak gini,1543
masker scuba,1540
penegakan hukum,1537
biar ga,1536
ta https,1533
yap masker,1525
masker kemanapun,1525
sayang sama,1523
womanfeeds id,1521
bantuan sosial,1517
tangan jaga,1516
swab test,1513
tangan sabun,1509
tetap pakai,1507
lindungi generasi,1499
aku ga,1499
covi https,1496
turut andil,1493
3m mencuci,1493
masker cegah,1493
pembatasan sosial,1492
isolasi mandiri,1488
segera berlalu,1487
masker ga,1486
sabun air,1484
selamat hari,1483
corona se,1483
kamu sayang,1482
maskermu melindungiku,1477
