term,count
covid,326968
masker,224162
19,199098
pandemi,153445
kesehatan,139916
protokol,125286
corona,119017
yg,91509
tetap,67995
aku,64251
pake,53495
ga,51584
2020,45630
jaga,42802
aja,41261
orang,40358
jangan,40084
pakai,39337
patuhi,37351
mau,36260
sama,35441
pilkada,34823
jadi,33280
kalo,32246
ni,32129
hari,31837
buat,31809
jarak,31588
penyebaran,31371
indonesia,31366
selalu,30308
lupa,29783
masa,29770
gak,28983
masyarakat,28275
apa,28139
udah,27961
kak,27809
ayo,27508
positif,27328
tak,26663
virus,26627
semua,26049
semoga,25857
baru,25626
kasus,24193
banyak,23897
bersama,23696
kalau,22693
polsek,22088
nya,21859
1,21547
rumah,21266
selama,20864
kena,20752
terus,20556
cegah,20444
kan,20318
vaksin,20284
gue,19907
psbb,19821
disiplin,19733
tahun,19546
lebih,19493
2,19386
dah,19363
sih,18969
1trenggalek,18814
tangan,18787
tengah,18563
banget,18156
3,17997
aman,17989
himbauan,17847
pas,17838
menjaga,17642
polri,17563
warga,17386
memakai,17016
gini,16997
polres,16745
melaksanakan,16729
gunakan,16438
bgt,16399
amp,16149
pemerintah,16077
nak,15177
bukan,15164
kerja,15098
panjang,15077
sekarang,14960
nih,14883
dulu,14387
tp,14351
beli,14248
hak,14198
libur,13678
tu,13595
yuk,13443
yustisi,13402
baik,13381
kasih,13334
salah,13256
mematuhi,12957
lah,12864
satu,12784
pak,12564
tau,12412
bikin,12311
operasi,12302
ka,12282
lg,12282
terima,11984
keluar,11904
pencegahan,11889
selamat,11803
negara,11736
mana,11711
liburan,11652
pasien,11625
cuma,11531
kok,11486
terapkan,11433
kamu,11310
gw,11261
sehat,11133
menjadi,10986
kegiatan,10971
kota,10941
anak,10926
sepei,10845
3m,10813
jalan,10758
la,10745
giat,10614
malah,10504
mencuci,10477
bulan,10465
si,10451
10,10431
november,10410
prokes,10292
lalu,10142
11,10027
biar,9997
menggunakan,9992
wa,9955
k,9843
takut,9834
satgas,9818
menerapkan,9771
udh,9737
diri,9718
kes,9711
ekonomi,9630
mencegah,9550
sea,9419
4,9393
pilih,9355
gua,9303
memberikan,9292
penanganan,9178
bhabinkamtibmas,9150
kali,9079
sembuh,9060
sangat,9028
patroli,9007
punya,8994
org,8966
wabah,8952
beruntung,8942
jd,8929
klo,8897
semangat,8861
gitu,8843
mulai,8824
dgn,8723
dr,8720
ikut,8686
awal,8632
jual,8539
tuh,8524
5,8468
dunia,8437
rakyat,8363
atas,8360
jakaa,8297
kerumunan,8276
iya,8249
emang,8248
pernah,8171
cara,8083
naik,8033
masuk,8021
makin,8017
jg,8017
desa,7986
sendiri,7939
penting,7920
p,7883
sampe,7875
sobat,7873
penularan,7837
update,7814
pemuda,7783
kalian,7768
se,7749
ku,7731
uu,7705
keluarga,7690
mungkin,7661
anggota,7627
normal,7595
cuci,7585
dong,7574
utk,7560
tempat,7458
kabupaten,7448
hai,7427
yaa,7369
oktober,7285
damai,7275
karna,7235
luar,7205
melakukan,7163
liat,7060
covid19,7053
meninggal,7037
rangka,7001
hidup,6999
krn,6935
lama,6926
waktu,6912
daerah,6900
mask,6890
langsung,6865
pengen,6850
b,6799
ingat,6773
acara,6765
ops,6742
sejak,6667
depan,6647
makan,6576
bener,6575
pagi,6551
eh,6547
jokowi,6525
bjn,6478
humaspolres,6477
wajah,6442
paling,6368
wkwk,6364
allah,6354
perlu,6350
lawan,6340
deh,6317
muka,6311
padahal,6304
segera,6295
tetep,6283
berakhir,6226
wajib,6190
online,6151
buka,6141
je,6135
20,6124
gara,6121
new,6104
teman,6086
suka,6069
kek,6010
gimana,5966
presiden,5963
bangsa,5960
selesai,5948
akibat,5943
dki,5937
temen,5864
memang,5857
terhindar,5830
kata,5808
cari,5807
kaya,5804
coba,5800
balik,5790
sekolah,5742
sakit,5731
lu,5730
demo,5706
patuh,5704
skrg,5687
jumlah,5682
siapa,5680
000,5665
minta,5663
mas,5656
besar,5646
detikcom,5617
na,5617
beambah,5611
aturan,5606
h,5597
susah,5580
sekali,5563
lintas,5559
benar,5558
data,5508
sosialisasi,5492
ditengah,5482
ko,5460
gk,5430
pergi,5424
jawa,5423
n,5419
kapan,5417
cepat,5405
gubernur,5400
jgn,5371
minggu,5362
sat,5361
bantuan,5342
sumpah,5340
kain,5304
ternyata,5304
harga,5273
beberapa,5265
g,5261
usaha,5253
juta,5249
habis,5246
adanya,5236
hingga,5236
6,5232
hati,5230
angka,5174
9,5173
abis,5167
mata,5138
gt,5129
dokter,5128
trus,5103
7,5088
jualan,5085
personil,5082
organik,5022
jam,5004
soalnya,5000
id,4994
wib,4989
soal,4989
berita,4983
dilakukan,4983
tiap,4975
rizieq,4953
negeri,4949
upaya,4946
kondisi,4932
karimun,4921
sm,4910
w,4900
era,4898
kehidupan,4895
sehari,4888
seluruh,4852
akhir,4843
main,4842
percaya,4840
sedang,4822
siap,4818
ngga,4812
terkait,4783
bilang,4773
nasional,4771
antisipasi,4764
mohon,4764
ki,4730
situasi,4727
bakal,4717
biasa,4684
kayak,4679
cek,4666
penerapan,4660
dimasa,4610
12,4586
da,4577
nonton,4570
malam,4563
merupakan,4552
mah,4551
serentak,4538
8,4535
bawa,4524
bagus,4521
make,4519
bila,4506
pelaksanaan,4494
membuat,4471
masalah,4467
per,4450
hukum,4442
rasa,4434
timur,4424
ibu,4421
keselamatan,4401
kemarin,4398
duit,4388
semenjak,4383
tugas,4380
mati,4343
tim,4321
kau,4303
sering,4289
terjadi,4287
sosial,4280
baca,4274
test,4273
pasar,4258
video,4250
menteri,4241
tdk,4223
peama,4222
kepala,4213
cipta,4208
maaf,4196
begini,4185
