trigram,count
vaksin covid 19,33185
vaksinasi covid 19,23700
penyebaran covid 19,14646
patuhi protokol kesehatan,13716
pandemi covid 19,13624
positif covid 19,11135
tetap jaga kesehatan,9120
jangan lupa pakai,8992
kesehatan jangan lupa,8934
jaga kesehatan jangan,8890
lupa pakai masker,8046
vaksin tak percaya,6836
virus covid 19,6646
kasus covid 19,6623
pakai masker kak,6478
pasien covid 19,5994
masker kak terima,5749
penanganan covid 19,5670
mematuhi protokol kesehatan,5360
cegah covid 19,5260
wajib bebas covid,5094
semoga beruntung kak,4947
penularan covid 19,4876
sinergitas jaga kamtibmas,4790
kak tetap jaga,4595
covid 19 indonesia,4564
disiplin protokol kesehatan,4489
indonesia wajib bebas,3938
cegah penyebaran covid,3879
satgas covid 19,3848
program vaksinasi covid,3806
tetap patuhi protokol,3802
beruntung kak tetap,3777
ayo pakai masker,3469
kak terima kasih,3419
ga pake masker,3382
disuntik vaksin covid,3280
jaga kamtibmas kapolri,3141
penyebaran virus covid,3125
pelaksanaan vaksinasi covid,3037
penerapan protokol kesehatan,2942
pencegahan covid 19,2898
penyebaran virus corona,2862
menerapkan protokol kesehatan,2842
terapkan protokol kesehatan,2816
divaksin covid 19,2792
pake masker aja,2691
covid 19 sinovac,2625
sobat setia smafren,2541
terima kasih sobat,2540
vaksin oke siap,2538
kasih sobat setia,2530
presiden joko widodo,2526
oke siap edar,2478
13 januari 2021,2439
vaksin halal cegah,2436
lawan covid 19,2398
halal cegah kovid,2365
terpapar covid 19,2255
semangat kak semoga,2222
kaka tetap jaga,2211
kak semoga rejeki,2211
semoga rejeki kaka,2210
rejeki kaka tetap,2209
lupa pake masker,2196
memutus mata rantai,2103
percaya vaksin akhiri,2082
setia smafren firda,2046
kesehatan covid 19,2032
vaksin akhiri pandemi,2000
vaksin aman kebal,1999
vaksin selektif tepat,1991
mencegah penyebaran covid,1976
himbauan protokol kesehatan,1976
vaksin lancar nkri,1957
pembatasan kegiatan masyarakat,1955
